Registration_number,Flag,Latitude,Longitude,Altitude,Direction,Speed,Flight_number,Flight_icao,Flight_iata,Departure_icao,Departure_iata,Arrival_icao,Arrival_iata,Airline_icao,Airline_iata,Aircraft_icao,Updated,Status
RA-73735,RU,61.129845,65.686111,10668,97,890,1480,AFL1480,SU1480,UUEE,SVO,UNKL,KJA,AFL,SU,A20N,1688586650,en-route
RA-73761,RU,47.903778,45.655266,10965,153,870,1314,AFL1314,SU1314,UUEE,SVO,URMM,MRV,AFL,SU,A320,1688586760,en-route
RA-73825,RU,57.573433,62.754616,8077,70,822,299,SVR299,U6299,USSS,SVX,UHBB,BQS,SVR,U6,A320,1688586410,en-route
RA-73828,RU,60.024357,67.199005,10683,86,859,93,SVR93,U693,UUDD,DME,UIAA,HTA,SVR,U6,A320,1688586650,en-route
RA-73829,RU,58.475052,51.233414,11277,104,874,226,SVR226,U6226,ULLI,LED,USSS,SVX,SVR,U6,A320,1688586760,en-route
RA-73830,RU,55.05304,61.992458,9441,169,814,2955,SVR2955,U62955,USSS,SVX,UTDL,LBD,SVR,U6,A320,1688585833,en-route
I-ADJP,IT,47.393097,8.34034,11277,183,779,6CL,DLA6CL,EN8850,EDDF,FRA,LIMF,TRN,DLA,EN,E195,1688586760,en-route
EC-IJN,ES,40.490799,-3.590048,0,270,0,3034,IBE3034,IB3034,LEMD,MAD,LEBL,BCN,IBE,IB,A321,1688586761,landed
EC-ILR,ES,44.293762,-3.984048,11277,176,788,37RS,IBS37RS,IB3791,EIDW,DUB,LEMD,MAD,IBS,IB,A320,1688586759,en-route
EC-ILS,ES,39.594589,1.22826,10675,267,696,32RP,IBE32RP,IB3235,LIRF,FCO,LEMD,MAD,IBE,IB,A320,1688586758,en-route
EC-JFH,ES,40.494164,-3.560303,0,84,12,3742,IBS3742,IB3742,LEMD,MAD,LFPG,CDG,IBS,IB,A320,1688586760,en-route
EC-JFG,ES,40.700272,-3.575806,1592,179,414,3929,IBS3929,IB3929,GCTS,TFS,LEMD,MAD,IBS,IB,A320,1688586759,en-route
EC-JEI,ES,41.560455,1.903007,10660,253,698,33BW,IBE33BW,IB3335,LIRQ,FLR,LEMD,MAD,IBE,IB,A319,1688586760,en-route
EC-JAD,ES,49.498947,8.776295,4876,18,414,1KB,SWT1KB,WT321,EDSB,FKB,ESGJ,JKG,SWT,WT,AT43,1688586761,en-route
EC-JSY,ES,36.674355,-4.495525,0,312,27,7TD,VLG7TD,VY2454,LEIB,IBZ,LEMG,AGP,VLG,VY,A320,1688586753,en-route
EC-JTR,ES,51.023998,-0.689774,4206,223,538,68KT,VLG68KT,VY7109,EGKK,LGW,LEST,SCQ,VLG,VY,A320,1688586762,en-route
EC-GJM,ES,49.814667,16.602716,5334,276,403,922,FTL922,,LKMT,OSR,EGBB,BHX,FTL,,SW4,1688586762,en-route
EC-KJD,ES,39.100113,-0.105445,6461,113,777,4BN,VLG4BN,VY3417,LEMD,MAD,LEIB,IBZ,VLG,VY,A320,1688586759,en-route
EC-KLB,ES,31.357132,-11.631721,11277,218,748,8YQ,VLG8YQ,VY3250,LEZL,SVQ,GCXO,TFN,VLG,VY,A320,1688586745,en-route
EC-KOH,ES,41.71756,-2.410688,7589,200,798,32LB,IBE32LB,IB3205,EBBR,BRU,LEMD,MAD,IBE,IB,A320,1688586762,en-route
EC-KRH,ES,44.787071,-0.10303,11277,210,722,8829,VLG8829,VY8829,LFPG,CDG,LEZL,SVQ,VLG,VY,A320,1688586759,en-route
EC-LLJ,ES,39.239914,-5.040754,10972,26,950,7LV,VLG7LV,VY3131,GCTS,TFS,EGKK,LGW,VLG,VY,A320,1688586760,en-route
EC-LOB,ES,47.468433,8.554758,388,318,238,4CV,VLG4CV,VY6249,LSZH,ZRH,LEBL,BCN,VLG,VY,A320,1688586762,en-route
EC-LOC,ES,51.090569,-0.420761,2468,183,433,75VU,VLG75VU,VY8473,EGKK,LGW,LEVC,VLC,VLG,VY,A320,1688586762,en-route
EC-LOV,ES,38.569336,-5.067504,9707,21,901,8909,ANE8909,IB8909,LEJR,XRY,LEMD,MAD,IBE,IB,CRJX,1688586760,en-route
EC-LPG,ES,41.506393,2.434941,10668,232,713,17AU,ANE17AU,IB8771,LIMF,TRN,LEMD,MAD,IBE,IB,CRJX,1688586761,en-route
EC-LPQ,ES,30.254951,-14.857965,11277,211,738,9057,AEA9057,UX9057,LEMD,MAD,GCXO,TFN,AEA,UX,B738,1688586760,en-route
EC-LQX,ES,40.414371,-3.32455,2667,28,516,1087,AEA1087,UX1087,LEMD,MAD,LGAV,ATH,AEA,UX,B738,1688586760,en-route
EC-LUK,ES,46.837605,-53.670891,11582,261,775,6149,IBE6149,IB6149,LEMD,MAD,KDFW,DFW,IBE,IB,A333,1688586758,en-route
EC-LXK,ES,26.259745,-80.010628,3970,226,620,6123,IBE6123,IB6123,LEMD,MAD,KMIA,MIA,IBE,IB,A333,1688586758,en-route
EC-LUS,ES,39.593842,1.657898,9448,273,720,3817,IBS3817,IB3817,LEMH,MAH,LEMD,MAD,IBS,IB,A320,1688586758,en-route
EC-LUL,ES,45.76136,5.660843,6134,28,772,3482,IBE3482,IB3482,LEMD,MAD,LSGG,GVA,IBE,IB,A320,1688586762,en-route
EC-LUT,ES,40.488659,-3.563175,0,264,25,1506,AEA1506,UX1506,EDDF,FRA,LEMD,MAD,AEA,UX,B738,1688586761,en-route
EC-LVD,ES,40.627991,-1.660095,7879,250,629,3041,IBE3041,IB3041,LEBL,BCN,LEMD,MAD,IBE,IB,A320,1688586759,en-route
EC-LVQ,ES,49.675552,6.411607,11277,61,926,36HL,IBS36HL,IB3674,LEMD,MAD,EDDB,BER,IBS,IB,A320,1688586761,en-route
EC-LXV,ES,38.492752,-5.762986,11582,43,955,9117,AEA9117,UX9117,GCXO,TFN,LEMD,MAD,AEA,UX,B738,1688586760,en-route
EC-LLE,ES,38.752075,-5.468027,11582,35,950,38SX,IBS38SX,IB3833,GCLP,LPA,LEMD,MAD,IBS,IB,A320,1688586760,en-route
EC-LZX,ES,39.663731,-44.672192,11277,255,820,6117,IBE6117,IB6117,LEMD,MAD,KMIA,MIA,IBE,IB,A333,1688586650,en-route
EC-MDZ,ES,45.150513,2.688054,10675,177,833,3UN,VLG3UN,VY2902,EHAM,AMS,LEPA,PMI,VLG,VY,A320,1688586759,en-route
EC-MEA,ES,47.867477,2.163483,11285,194,794,17LT,VLG17LT,VY1919,EKCH,CPH,LEAL,ALC,VLG,VY,A320,1688586761,en-route
EC-MDK,ES,44.374649,3.400334,10972,59,953,32HC,IBE32HC,IB3256,LEMD,MAD,LIML,LIN,IBE,IB,A320,1688586760,en-route
EC-MER,ES,43.470383,0.772939,10058,192,766,8350,VLG8350,VY8350,EHAM,AMS,LEVC,VLC,VLG,VY,A320,1688586760,en-route
EC-MFL,ES,41.133137,10.325713,10180,263,742,456E,VLG456E,VY6107,LIRF,FCO,LEBL,BCN,VLG,VY,A320,1688586761,en-route
EC-MFN,ES,52.454037,4.720354,563,184,301,6HC,VLG6HC,VY8436,LPPT,LIS,EHAM,AMS,VLG,VY,A320,1688586761,en-route
EC-MHB,ES,48.589233,2.436148,3291,70,525,7LH,VLG7LH,VY8016,LEBL,BCN,LFPO,ORY,VLG,VY,A321,1688586759,en-route
EC-MEG,ES,36.375595,-8.30658,10980,48,961,39YB,IBS39YB,IB3939,GCXO,TFN,LEMD,MAD,IBS,IB,A320,1688586760,en-route
EC-MIE,ES,49.209732,9.660081,6454,40,833,4211,BCS4211,QY4211,EDDS,STR,EDDP,LEJ,SWT,QY,B734,1688586762,en-route
EC-MIQ,ES,42.54884,5.587761,10370,47,892,2QL,VLG2QL,VY6029,LEBL,BCN,LIRQ,FLR,VLG,VY,A319,1688586759,en-route
EC-MJB,ES,40.749161,2.225586,4556,152,761,5NZ,VLG5NZ,VY3920,LEBL,BCN,LEPA,PMI,VLG,VY,A320,1688586758,en-route
EC-MKI,ES,11.574169,-76.885506,12192,224,822,6339,IBE6339,IB6339,LEMD,MAD,MPTO,PTY,IBE,IB,A332,1688586650,en-route
EC-MKX,ES,48.637684,5.646756,11277,141,913,9QE,VLG9QE,VY6209,EGKK,LGW,LIRQ,FLR,VLG,VY,A319,1688586762,en-route
EC-MLM,ES,41.37204,2.297974,784,246,394,8KC,VLG8KC,VY8307,EHAM,AMS,LEBL,BCN,VLG,VY,A321,1688586760,en-route
EC-MMH,ES,39.616104,-6.042898,10058,254,707,92JK,VLG92JK,VY8464,LEBL,BCN,LPPT,LIS,VLG,VY,A321,1688586760,en-route
EC-MNM,ES,45.147942,11.640953,6370,3,737,7713,BCS7713,QY7713,LIPE,BLQ,EDDP,LEJ,SWT,QY,B734,1688586760,en-route
EC-MOM,ES,6.177203,-58.627453,11887,42,872,176,AEA176,UX176,SPJC,LIM,LEMD,MAD,AEA,UX,B788,1688585960,en-route
EC-MSB,ES,40.497368,-3.583572,0,270,37,1,ANE1,YW1,LEVC,VLC,LEMD,MAD,IBE,YW,CRJX,1688586761,en-route
EC-MTL,ES,37.273682,25.394255,678,66,400,10WZ,VOE10WZ,V71446,LIPZ,VCE,LGMK,JMK,VOE,V7,A319,1688586662,en-route
EC-MTM,ES,40.993378,3.526001,8785,143,855,3873,VOE3873,V73873,LEXJ,SDR,LEMH,MAH,VOE,V7,A319,1688586758,en-route
EC-MUM,ES,32.101257,-12.296672,11590,34,918,4NN,VLG4NN,VY3050,GCLP,LPA,LEZL,SVQ,VLG,VY,A320,1688586561,en-route
EC-MUB,ES,53.525482,10.832206,4137,322,538,6633,MBU6633,DI6633,LGKR,CFU,EDDH,HAM,LAV,DI,B738,1688586762,en-route
EC-MVE,ES,43.644836,1.406953,10965,352,816,45HV,VLG45HV,VY8311,LEBL,BCN,EHAM,AMS,VLG,VY,A320,1688586761,en-route
EC-MYC,ES,40.638336,2.039978,3634,7,625,1YM,VLG1YM,VY3923,LEPA,PMI,LEBL,BCN,VLG,VY,A320,1688586759,en-route
EC-MUF,ES,38.562756,-5.073486,7117,23,957,3953,IBS3953,IB3953,LEZL,SVQ,LEMD,MAD,IBS,IB,A320,1688586761,en-route
EC-MUG,ES,29.846375,-15.164989,11049,211,785,79YY,ANE79YY,IB8570,LEVD,VLL,GCXO,TFN,IBE,IB,CRJX,1688586757,en-route
EC-MXU,ES,50.275131,3.009531,7155,48,798,3208,IBE3208,IB3208,LEMD,MAD,EBBR,BRU,IBE,IB,A20N,1688586760,en-route
EC-MXP,ES,47.16687,1.612724,9662,197,757,1ME,VLG1ME,VY8173,LFPO,ORY,LEMG,AGP,VLG,VY,A320,1688586762,en-route
EC-MVY,ES,40.607208,-3.575256,1074,179,318,77RK,AEA77RK,UX7160,LEBB,BIO,LEMD,MAD,AEA,UX,B738,1688586760,en-route
EC-MXM,ES,40.48114,-3.576128,0,143,35,1518,AEA1518,UX1518,EDDM,MUC,LEMD,MAD,AEA,UX,B738,1688586760,en-route
EC-NAE,ES,33.306541,-13.054336,11277,206,729,7EJ,VLG7EJ,VY3203,LEAS,OVD,GCXO,TFN,VLG,VY,A20N,1688586754,en-route
EC-NBA,ES,41.774303,2.13007,9601,326,759,4LJ,VLG4LJ,VY6027,LEBL,BCN,EGKK,LGW,VLG,VY,A20N,1688586760,en-route
EC-NCF,ES,37.711689,-1.403742,8427,219,751,6UL,VLG6UL,VY3200,LEAL,ALC,GCLP,LPA,VLG,VY,A20N,1688586758,en-route
EC-NBE,ES,18.167862,-58.637405,11887,61,953,6590,IBE6590,IB6590,SKBO,BOG,LEMD,MAD,IBE,IB,A359,1688586184,en-route
EC-NCM,ES,37.991562,22.945005,8709,279,792,3283,IBE3283,IB3283,LGAV,ATH,LEMD,MAD,IBE,IB,A20N,1688586762,en-route
EC-NBC,ES,38.022034,20.620111,11277,113,892,19KR,VOE19KR,V72468,LFBD,BOD,LGSR,JTR,VOE,V7,A319,1688586758,en-route
EC-NDN,ES,41.305058,-0.114982,9151,98,1000,30BT,IBE30BT,IB3030,LEMD,MAD,LEBL,BCN,IBE,IB,A20N,1688586759,en-route
EC-NFZ,ES,40.964401,-3.811096,3581,62,527,31DC,IBE31DC,IB3113,LPPT,LIS,LEMD,MAD,IBE,IB,A20N,1688586760,en-route
EC-NIJ,ES,38.839005,-1.571224,10050,233,725,8AY,VLG8AY,VY3000,LEBL,BCN,GCLP,LPA,VLG,VY,A20N,1688586758,en-route
EC-NIY,ES,40.535431,1.425537,7993,223,670,77AJ,VLG77AJ,VY2474,LEBL,BCN,GCRR,ACE,VLG,VY,A20N,1688586759,en-route
EC-NGM,ES,-3.897583,-34.17614,11216,28,914,58,AEA58,UX58,SBGR,GRU,LEMD,MAD,AEA,UX,B789,1688586547,en-route
EC-NGN,ES,-4.6677,-34.586098,11277,28,905,42,AEA42,UX42,SAEZ,EZE,LEMD,MAD,AEA,UX,B789,1688586761,en-route
EC-NGT,ES,-7.927368,-47.807892,11277,37,909,6830,IBE6830,IB6830,SCEL,SCL,LEMD,MAD,IBE,IB,A359,1688586537,en-route
EC-NGY,ES,32.873657,-57.906269,11887,242,885,867,EVE867,E9867,LEMD,MAD,MHSC,XPL,EVE,E9,A359,1688586650,en-route
EC-NHA,ES,38.115856,-8.160155,10668,216,716,5XZ,IBB5XZ,NT5951,LEXJ,SDR,GCXO,TFN,IBB,NT,E295,1688586760,en-route
EC-NIS,ES,34.479137,-41.521641,11887,232,885,6587,IBE6587,IB6587,LEMD,MAD,SKBO,BOG,IBE,IB,A359,1688586650,en-route
EC-NJM,ES,-10.294052,-34.29266,11887,27,931,6856,IBE6856,IB6856,SAEZ,EZE,LEMD,MAD,IBE,IB,A359,1688586761,en-route
EC-NJU,ES,40.553795,-3.281042,4663,44,620,32GD,IBE32GD,IB3248,LEMD,MAD,LIPZ,VCE,IBE,IB,A20N,1688586759,en-route
EC-NOP,ES,48.41996,7.446273,2202,209,487,34UV,VOE34UV,V72518,LFST,SXB,LFMN,NCE,VOE,V7,A320,1688586761,en-route
EC-NOS,ES,37.417992,-5.887776,45,270,277,91WA,VOE91WA,V73529,LEZL,SVQ,LEBB,BIO,VOE,V7,A320,1688586756,en-route
EC-NOY,ES,42.837231,5.674962,8549,124,946,2835,VOE2835,V72835,LFMT,MPL,LFKJ,AJA,VOE,V7,A320,1688586758,en-route
EC-NPU,ES,29.688171,-14.858005,11704,198,759,35VW,IBB35VW,NT5201,LECO,LCG,GCLP,LPA,IBB,NT,E295,1688586759,en-route
EC-NLY,ES,49.258072,3.25146,10660,214,768,1899,VLG1899,VY1899,EDDL,DUS,LEBL,BCN,VLG,VY,A321,1688586761,en-route
EC-NTA,ES,41.508953,2.45372,11285,233,696,33HR,IBE33HR,IB3311,LDSP,SPU,LEMD,MAD,IBE,IB,A20N,1688586759,en-route
EC-NTB,ES,28.086681,-55.708954,11582,233,894,3503,WFL3503,2W3503,LEMD,MAD,MDPC,PUJ,WFL,2W,A359,1688586650,en-route
EC-NSR,ES,36.3181,-4.814472,1066,225,262,216,HTY216,,LEMG,AGP,GECE,JCU,HTY,,A139,1688586757,en-route
EC-NTL,ES,43.877884,5.068785,4472,157,594,40RJ,VOE40RJ,V72541,LFRN,RNS,LFML,MRS,VOE,V7,A320,1688586759,en-route
EC-NTM,ES,41.711037,14.522904,9753,295,766,56UB,VOE56UB,V72317,LGAV,ATH,LFRS,NTE,VOE,V7,A320,1688586761,en-route
EC-NTX,ES,17.802818,-22.046577,11582,208,822,23,TAP23,TP23,LPPT,LIS,SBSV,SSA,PLM,TP,A333,1688586650,en-route
EC-NTO,ES,50.543907,-1.600663,9304,211,772,3179,IBE3179,IB3179,EGLL,LHR,LEMD,MAD,IBE,IB,A20N,1688586762,en-route
EC-NTP,ES,43.233215,-4.029555,11277,183,755,31YY,IBE31YY,IB3173,EGLL,LHR,LEMD,MAD,IBE,IB,A20N,1688586755,en-route
EC-JQG,ES,-3.452429,-68.088837,12192,225,879,301,PUE301,PU301,LEMD,MAD,SPJC,LIM,PUE,PU,A332,1688586650,en-route
EC-NYM,ES,41.293533,2.101227,0,64,31,8031,BCS8031,QY8031,LEBL,BCN,EDDP,LEJ,RGN,QY,B752,1688586759,en-route
EC-NVJ,ES,40.880127,-3.652649,2849,131,498,1142,AEA1142,UX1142,LPPR,OPO,LEMD,MAD,AEA,UX,B738,1688586760,en-route
EC-NVR,ES,27.466286,-78.256935,12192,230,914,6403,IBE6403,IB6403,LEMD,MAD,MMMX,MEX,IBE,IB,A359,1688586758,en-route
EC-NVS,ES,40.643642,-1.939649,6454,272,577,32SM,IBE32SM,IB3245,LIPZ,VCE,LEMD,MAD,IBE,IB,A20N,1688586759,en-route
EC-NVX,ES,40.855919,-2.95526,4937,281,481,1094,AEA1094,UX1094,EHAM,AMS,LEMD,MAD,AEA,UX,B789,1688586760,en-route
EC-NXA,ES,35.978294,-41.369469,11879,241,864,33,AEA33,UX33,LEMD,MAD,MDPC,PUJ,AEA,UX,B788,1688586650,en-route
EC-NYD,ES,48.732971,2.431993,198,255,238,8321,VLG8321,VY8321,LEAL,ALC,LFPO,ORY,VLG,VY,A21N,1688586762,en-route
EC-NZP,ES,53.740356,10.338449,1104,335,387,32WK,IBE32WK,IB3272,LEMD,MAD,EDDH,HAM,IBE,IB,A20N,1688586761,en-route
T.24-01,ES,54.075127,-112.352333,12192,186,896,4516,AME4516,,EDDK,CGN,,,AME,,A332,1688586760,en-route
F-GMZC,FR,46.628304,1.129257,10675,215,714,7440,AFR7440,AF7440,LFPG,CDG,LFBD,BOD,AFR,AF,A321,1688586762,en-route
F-GZCF,FR,28.532146,73.305199,9136,268,881,225,AFR225,AF225,VIDP,DEL,LFPG,CDG,AFR,AF,A332,1688586584,en-route
F-GZTB,IE,48.726089,2.03529,4602,202,692,465,FPO465,5O465,LFPG,CDG,DAAG,ALG,ABR,5O,B733,1688586760,en-route
F-GZTJ,IE,52.186295,20.717392,1821,257,496,5AW,FPO5AW,,EPWA,WAW,LFPG,CDG,ABR,AG,B734,1688586762,en-route
F-GZTX,IE,49.322422,9.596341,10972,277,707,5UD,FPO5UD,5O4368,LHBP,BUD,LFPG,CDG,ABR,5O,B734,1688586762,en-route
FHALV,FR,45.212463,3.85466,11277,129,822,144M,VLJ144M,,EGNX,EMA,LFMN,NCE,VLJ,,C25M,1688586759,en-route
F-HBLC,FR,49.511425,3.98054,5433,256,646,1047,AFR1047,AF1047,EPWA,WAW,LFPG,CDG,AFR,AF,E190,1688586759,en-route
F-HBLF,FR,49.576595,8.727302,10972,272,770,42TC,AFR42TC,AF1023,EDDM,MUC,LFPG,CDG,AFR,AF,E190,1688586762,en-route
F-HBLR,FR,48.660095,5.784865,8839,99,950,92MV,AFR92MV,AF1608,LFPG,CDG,EDDS,STR,AFR,AF,E190,1688586759,en-route
F-HBUZ,FR,44.331482,-71.594238,10980,224,838,200,DJT200,B0200,LFMN,NCE,KEWR,EWR,DJT,B0,A21N,1688586762,en-route
G-BMRA,UK,52.832878,-1.220895,434,269,201,3999,DHK3999,D03999,BIKF,KEF,EGNX,EMA,DHK,D0,B752,1688586762,en-route
G-VIIK,UK,51.99408,-3.24585,9860,294,820,239,BAW239,BA239,EGLL,LHR,KBOS,BOS,BAW,BA,B772,1688586761,en-route
G-VIIM,UK,52.917606,-46.770725,11582,247,851,33K,BAW33K,BA113,EGLL,LHR,KJFK,JFK,BAW,BA,B772,1688586530,en-route
G-OBYK,DE,44.141994,9.651751,11894,122,976,76H,TOM76H,BY2370,EGCC,MAN,LGKO,KGS,TUI,BY,B763,1688586760,en-route
G-VIIU,UK,42.33107,-60.924004,10363,236,811,41C,BAW41C,BA2039,EGKK,LGW,KMCO,MCO,BAW,BA,B772,1688586650,en-route
G-SAJH,UK,51.839012,-0.960987,6957,4,759,6RX,LOG6RX,LM490,EGHI,SOU,EGPF,GLA,LOG,LM,E145,1688586761,en-route
G-MIDX,UK,50.289413,4.96199,11292,117,900,92RU,BAW92RU,BA922,EGLL,LHR,EDDS,STR,BAW,BA,A320,1688586762,en-route
G-SAJN,UK,52.298061,-0.993204,6050,310,733,93Y,LOG93Y,LM658,EGLL,LHR,EGAE,LDY,LOG,LM,E145,1688586761,en-route
G-EUPZ,UK,53.582657,-2.153163,8229,190,850,13L,SHT13L,BA1337,EGNT,NCL,EGLL,LHR,BAW,BA,A319,1688586760,en-route
G-EUOA,UK,53.557251,-2.707973,10972,306,783,4G,SHT4G,BA1426,EGLL,LHR,EGAC,BHD,BAW,BA,A319,1688586761,en-route
G-TTOE,UK,52.620667,12.395706,4549,94,629,988,BAW988,BA988,EGLL,LHR,EDDB,BER,BAW,BA,A320,1688586759,en-route
G-EUUE,UK,51.363087,0.202255,3543,127,522,569J,BAW569J,BA569,LIML,LIN,EGLL,LHR,BAW,BA,A320,1688586761,en-route
G-EUUG,UK,42.758789,0.981341,11582,354,853,64VC,BAW64VC,BA445,LEVC,VLC,EGLL,LHR,BAW,BA,A320,1688586760,en-route
G-SOOH,GB,52.757168,1.125833,396,221,201,,,,,,,,,,H500,1688586755,en-route
G-EUUU,UK,51.466572,-0.471725,0,270,46,7X,SHT7X,BA1495,EGPF,GLA,EGLL,LHR,BAW,BA,A320,1688586761,en-route
G-EZDA,UK,51.890369,0.257092,0,45,0,41DK,EZY41DK,U243,EGAA,BFS,EGSS,STN,EZY,U2,A319,1688586717,landed
G-EZDD,UK,53.244644,6.530116,11056,70,855,47XF,EZY47XF,U28635,EGKK,LGW,EDDH,HAM,EZY,U2,A319,1688586761,en-route
G-EZTH,UK,42.954895,26.925766,10972,314,842,2150,EZY2150,U22150,LTAI,AYT,EGCC,MAN,EZY,U2,A320,1688586762,en-route
G-EZTK,UK,41.793949,12.246869,0,345,1,78JZ,EZY78JZ,U28329,EGKK,LGW,LIRF,FCO,EZY,U2,A320,1688586750,landed
G-EZTM,UK,37.206345,24.573437,10675,147,829,3229,EZY3229,U23229,EGPH,EDI,LGIR,HER,EZY,U2,A320,1688586758,en-route
G-EZTN,UK,46.978561,-1.132085,11590,352,818,31ZM,EZY31ZM,U28062,LEBL,BCN,EGKK,LGW,EZY,U2,A320,1688586760,en-route
G-EUYE,UK,51.095398,0.168432,4884,341,494,5GU,BAW5GU,BA545,LIPE,BLQ,EGLL,LHR,BAW,BA,A320,1688586761,en-route
G-EZFR,UK,50.593048,8.904925,11285,105,916,81LZ,EZY81LZ,U22229,EGCC,MAN,LKPR,PRG,EZY,U2,A319,1688586761,en-route
G-EUYI,UK,47.095825,4.983948,9304,319,751,73V,BAW73V,BA737,LSGG,GVA,EGLL,LHR,BAW,BA,A320,1688586760,en-route
G-EZFU,UK,43.493637,6.457917,3451,127,596,92DJ,EZY92DJ,U23471,EGGP,LPL,LFMN,NCE,EZY,U2,A319,1688586755,en-route
G-EZUF,UK,50.993694,0.061111,1821,286,418,72XU,EZY72XU,U28226,LGSA,CHQ,EGKK,LGW,EZY,U2,A320,1688586761,en-route
G-EZGH,UK,43.873672,0.711429,11887,186,748,45YR,EZY45YR,U23357,EGGP,LPL,LEAL,ALC,EZY,U2,A319,1688586759,en-route
G-EUYM,UK,45.742599,-2.741982,10972,9,903,465M,BAW465M,BA465,LEMD,MAD,EGLL,LHR,BAW,BA,A320,1688586760,en-route
G-EZGJ,UK,51.158501,-0.180225,0,75,7,74EY,EZY74EY,U28641,EGKK,LGW,EDDM,MUC,EZY,U2,A319,1688586761,en-route
G-STBD,UK,45.120571,-108.650902,11277,209,863,21B,BAW21B,BA281,EGLL,LHR,KLAX,LAX,BAW,BA,B77W,1688586756,en-route
G-STBE,UK,41.691559,-71.82518,11582,217,885,67V,BAW67V,BA67,EGLL,LHR,KPHL,PHL,BAW,BA,B77W,1688586760,en-route
G-TAWA,DE,44.058197,22.828951,10972,357,848,41V,TOM41V,BY6341,LGRP,RHO,EGTE,EXT,TUI,BY,B738,1688586759,en-route
G-EZUN,UK,53.423534,-2.81145,4099,296,614,172V,EZY172V,U2707,EGCC,MAN,EGAA,BFS,EZY,U2,A320,1688586761,en-route
G-EZUO,UK,44.239334,15.051738,11277,129,909,85BG,EZY85BG,U22061,EGCC,MAN,LGKR,CFU,EZY,U2,A320,1688586761,en-route
G-EZUZ,UK,36.682652,-4.509902,22,132,96,38UH,EZY38UH,U22338,LEMG,AGP,EGGW,LTN,EZY,U2,A320,1688586758,en-route
G-TAWD,DE,37.854881,21.16128,11887,115,866,6PA,TOM6PA,BY2342,EGCC,MAN,LGRP,RHO,TUI,BY,B738,1688586758,en-route
G-EZWB,UK,52.44305,-1.492493,6957,145,781,38LA,EZY38LA,U221,EGAA,BFS,EGGW,LTN,EZY,U2,A320,1688586762,en-route
G-EZWC,UK,37.192863,26.219707,8724,326,863,61AD,EZY61AD,U22382,LGRP,RHO,EGGW,LTN,EZY,U2,A320,1688586758,en-route
G-EZWD,UK,36.217072,-6.094494,11590,18,900,8712,EZY8712,U28712,GMMX,RAK,EGKK,LGW,EZY,U2,A320,1688586758,en-route
G-VWAG,UK,32.799774,-80.933701,12192,213,801,91U,VIR91U,VS91,EGLL,LHR,KMCO,MCO,VIR,VS,A333,1688586759,en-route
G-ZBJC,UK,49.770813,-63.965221,12184,225,907,223N,BAW223N,BA223,EGLL,LHR,KBNA,BNA,BAW,BA,B788,1688586757,en-route
G-STBG,UK,46.869141,-67.759003,11277,212,907,15K,BAW15K,BA115,EGLL,LHR,KJFK,JFK,BAW,BA,B77W,1688586758,en-route
G-STBH,UK,47.829956,-121.393784,11887,192,894,11M,BAW11M,BA285,EGLL,LHR,KSFO,SFO,BAW,BA,B77W,1688586760,en-route
G-GATU,UK,41.441872,20.977692,10965,298,840,2605,EFW2605,BA2605,LGRP,RHO,EGKK,LGW,BAW,BA,A320,1688586758,en-route
G-JZHG,UK,38.269989,27.034248,10462,156,718,8PH,EXS8PH,LS1247,EGBB,BHX,LTFE,BJV,EXS,LS,B738,1688586758,en-route
G-JZBJ,UK,38.967342,27.561829,11277,154,779,5KV,EXS5KV,LS1809,EGGD,BRS,LTAI,AYT,EXS,LS,B738,1688586759,en-route
G-JZBK,UK,41.586094,1.125268,10972,356,857,9FQ,EXS9FQ,LS1836,LEIB,IBZ,EGGD,BRS,EXS,LS,B738,1688586759,en-route
G-JZBL,UK,47.639324,15.901935,10972,309,764,81FL,EXS81FL,LS1870,LCPH,PFO,EGGD,BRS,EXS,LS,B738,1688586760,en-route
G-JZBF,UK,39.952389,23.309305,11887,129,840,7TY,EXS7TY,LS743,EGCC,MAN,LGKO,KGS,EXS,LS,B738,1688586759,en-route
G-JZBG,UK,36.900909,30.794947,0,185,33,709,EXS709,LS709,EGPH,EDI,LTAI,AYT,EXS,LS,B738,1688586761,en-route
G-TTNC,UK,53.516785,-1.309963,11346,330,811,16V,SHT16V,BA1466,EGLL,LHR,EGPE,INV,BAW,BA,A20N,1688586760,en-route
G-TTNB,UK,51.477417,-0.48439,342,270,251,482P,BAW482P,BA482,EGLL,LHR,LEBL,BCN,BAW,BA,A20N,1688586761,en-route
G-TTNA,UK,51.465271,-0.326027,434,270,268,66GA,BAW66GA,BA641,LGAV,ATH,EGLL,LHR,BAW,BA,A20N,1688586762,en-route
G-TUIM,DE,51.142708,-0.227356,373,257,275,832,TOM832,BY832,EGKK,LGW,LTBS,DLM,TUI,BY,B789,1688586762,en-route
G-TTND,UK,51.579086,2.206192,9608,280,724,65TR,BAW65TR,BA653,LGSR,JTR,EGLL,LHR,BAW,BA,A20N,1688586761,en-route
G-TTNE,UK,52.073147,5.052298,11597,263,790,9GM,BAW9GM,BA995,EDDB,BER,EGLL,LHR,BAW,BA,A20N,1688586761,en-route
G-TTNF,UK,39.018551,23.808167,11285,120,850,312,BAW312,BA312,EGLL,LHR,OJAI,AMM,BAW,BA,A20N,1688586759,en-route
