Code Aéroport,Code Ville,Code Pays,Nom Ville,Latitude,Longitude,UTC Différence,Time_Zone
APA,DEN,US,Denver Centennial Airport,39.5719,-104.8511,-07:00,America/Denver
APB,APB,BO,Apolo,-14.7167,-68.5,-04:00,America/La_Paz
APC,APC,US,Napa County,38.2133,-122.28,-08:00,America/Los_Angeles
APE,APE,PE,San Juan Aposento,-15.35,-75.1667,-05:00,America/Lima
APF,APF,US,Naples Municipal,26.1533,-81.7753,-05:00,America/New_York
APG,APG,US,Aberdeen Phillips Army Air Field,39.5167,-76.1667,-05:00,America/New_York
APH,APH,US,Bowling Green A.P. Hill Aaf,38.05,-77.35,-05:00,America/New_York
API,API,CO,Apiay Luis F. Gomez Nino Ab,4.0761,-73.5628,-05:00,America/Bogota
APJ,APJ,CN,Ali Pulan,30.3986,81.1325,+08:00,Asia/Shanghai
APK,APK,PF,Apataki,-15.5736,-146.4153,-10:00,Pacific/Tahiti
APL,APL,MZ,Nampula,-15.1056,39.2817,+02:00,Africa/Maputo
APN,APN,US,Alpena,45.0781,-83.5603,-05:00,America/New_York
APO,APO,CO,Apartado Carepa-A.R. Betancourt,7.8125,-76.7167,-05:00,America/Bogota
APP,APP,PG,Asapa,-8.9833,148.1333,+10:00,Pacific/Port_Moresby
APQ,APQ,BR,Arapiraca,-9.75,-36.65,-03:00,America/Araguaina
APR,APR,PG,April River,-4.6769,142.5397,+10:00,Pacific/Port_Moresby
APS,APS,BR,Anapolis,-16.3628,-48.9275,-03:00,America/Araguaina
APT,APT,US,Jasper Marion County,35.0667,-85.6333,-06:00,America/Chicago
APU,APU,BR,Apucarana Captain Joao Busse,-23.55,-51.4833,-03:00,America/Araguaina
APV,APV,US,Apple Valley,34.5783,-117.1867,-08:00,America/Los_Angeles
APW,APW,WS,Apia Faleolo Apt,-13.8297,-171.9972,+13:00,Pacific/Apia
APX,APX,BR,Arapongas Alberto Bertelli,-23.3833,-51.95,-03:00,America/Araguaina
APY,APY,BR,Alto Parnaiba,-9.1,-45.9667,-03:00,America/Araguaina
APZ,APZ,AR,Zapala,-38.9167,-70.0833,-03:00,America/Argentina/Buenos_Aires
AQA,AQA,BR,Araraquara Bartolomeu De Gusmao,-21.8119,-48.1331,-03:00,America/Araguaina
AQB,AQB,GT,Quiche,15.01,-91.15,-06:00,America/Guatemala
AQG,AQG,CN,Anqing Tianzhushan,30.5825,117.0503,+08:00,Asia/Shanghai
AQI,AQI,SA,Qaisumah Hafar Al Batin,28.3353,46.125,+03:00,Asia/Riyadh
AQJ,AQJ,JO,Aqaba King Hussein International,29.6117,35.0181,+03:00,Asia/Amman
AQL,LEI,ES,Almeria Bus Station,36.8353,-2.4569,+01:00,Europe/Madrid
AQM,AQM,BR,Ariquemes,-9.9333,-63.0667,-04:00,America/Porto_Velho
AQP,AQP,PE,Arequipa Rodriguez Ballon Intl,-16.3408,-71.5725,-05:00,America/Lima
AQS,AQS,FJ,Saqani,-16.75,179.35,+12:00,Pacific/Fiji
AQY,AQY,US,Girdwood,60.9667,-149.1167,-09:00,America/Anchorage
ARA,ARA,US,New Iberia Acadiana Regional,30.0428,-91.8853,-06:00,America/Chicago
ARB,ARB,US,Ann Arbor Municipal,42.2236,-83.7458,-05:00,America/New_York
ARC,ARC,US,Arctic Village,68.1147,-145.5794,-09:00,America/Anchorage
ARD,ARD,ID,Alor Mali,-8.1331,124.5969,+08:00,Asia/Makassar
ARE,ARE,PR,Arecibo Antonio Juarbe Pol,18.45,-66.6667,-04:00,America/Puerto_Rico
ARF,ARF,CO,Acaricuara,0.5333,-70.1333,-05:00,America/Bogota
ARG,ARG,US,Walnut Ridge Regional,36.1167,-90.9167,-06:00,America/Chicago
ARH,ARH,RU,Arkhangelsk,64.6003,40.7167,+03:00,Europe/Moscow
ARI,ARI,CL,Arica,-18.3486,-70.3386,-04:00,America/Santiago
ARJ,ARJ,ID,Arso,-2.9333,140.7833,+09:00,Asia/Jayapura
ARK,ARK,TZ,Arusha,-3.3672,36.625,+03:00,Africa/Dar_es_Salaam
ARL,ARL,BF,Arly,11.5964,1.4811,+00:00,Africa/Ouagadougou
ARM,ARM,AU,Armidale,-30.5281,151.6172,+10:00,Australia/Sydney
ARN,STO,SE,Stockholm,59.6519,17.9186,+01:00,Europe/Stockholm
ARO,ARO,CO,Arboletes,8.8667,-76.4333,-05:00,America/Bogota
ARP,ARP,PG,Aragip,-9.9,149.4667,+10:00,Pacific/Port_Moresby
ARQ,ARQ,CO,Arauquita El Troncal,7.0361,-71.4403,-05:00,America/Bogota
ARR,ARR,AR,Alto Rio Senguer,-45.1361,-70.8122,-03:00,America/Argentina/Buenos_Aires
ARS,ARS,BR,Aragarcas,-15.9167,-52.25,-03:00,America/Araguaina
ART,ART,US,Watertown,43.9919,-76.0217,-05:00,America/New_York
ARU,ARU,BR,Aracatuba Dario Guarita,-21.1414,-50.4247,-03:00,America/Araguaina
ARV,ARV,US,Minocqua/Woodruff Lakeland,45.9167,-89.7333,-06:00,America/Chicago
ARW,ARW,RO,Arad,46.1767,21.2619,+02:00,Europe/Bucharest
ARX,ARX,BR,Aracati Dragao Do Mar,-4.5692,-37.8056,-03:00,America/Araguaina
ARY,ARY,AU,Ararat,-37.2833,142.9333,+10:00,Australia/Sydney
ARZ,ARZ,AO,N'zeto,-7.2167,12.8667,+01:00,Africa/Luanda
ASA,ASA,ER,Assab International,13.0717,42.645,+03:00,Africa/Asmara
ASB,ASB,TM,Ashgabat,37.9869,58.3608,+05:00,Asia/Ashgabat
ASC,ASC,BO,Ascension,-15.9306,-63.1569,-04:00,America/La_Paz
ASD,ASD,BS,Andros Town International,24.6983,-77.7956,-05:00,America/Nassau
ASE,ASE,US,Aspen,39.2192,-106.8672,-07:00,America/Denver
ASF,ASF,RU,Astrakhan,46.2833,48.0064,+04:00,Europe/Volgograd
ASG,ASG,NZ,Ashburton,-43.9,171.7833,+12:00,Pacific/Auckland
ASH,ASH,US,Nashua Boire Field,42.7833,-71.5167,-05:00,America/New_York
ASI,ASI,SH,Ascension Island Raf Station,-7.9667,-14.4,+00:00,Atlantic/St_Helena
ASJ,ASJ,JP,Amami,28.4306,129.7125,+09:00,Asia/Tokyo
ASK,ASK,CI,Yamoussoukro,6.9039,-5.3656,+00:00,Africa/Abidjan
ASL,ASL,US,Marshall Harrison County,32.55,-94.3667,-06:00,America/Chicago
ASM,ASM,ER,Asmara,15.2919,38.9106,+03:00,Africa/Asmara
ASN,ASN,US,Talladega Municipal,33.4333,-86.1,-06:00,America/Chicago
ASO,ASO,ET,Asosa,10.0186,34.5864,+03:00,Africa/Addis_Ababa
ASP,ASP,AU,Alice Springs,-23.8067,133.9022,+09:30,Australia/Darwin
ASQ,ASQ,US,Austin,39.5,-117.0667,-08:00,America/Los_Angeles
ASR,ASR,TR,Kayseri,38.7703,35.4956,+03:00,Europe/Istanbul
ASS,ASS,ZA,Arathusa Safari Lodge,-24.7411,31.5183,+02:00,Africa/Johannesburg
AST,AST,US,Astoria Regional,46.1592,-123.8811,-08:00,America/Los_Angeles
ASU,ASU,PY,Asuncion,-25.2397,-57.5192,-04:00,America/Asuncion
ASV,ASV,KE,Amboseli,-2.645,37.2528,+03:00,Africa/Nairobi
ASW,ASW,EG,Aswan,23.9644,32.82,+02:00,Africa/Cairo
ASX,ASX,US,Ashland John F Kennedy Memorial,46.55,-90.9167,-06:00,America/Chicago
ASY,ASY,US,Ashley Municipal,46.0333,-99.3667,-06:00,America/Chicago
ASZ,ASZ,PG,Asirim,-6.0097,150.3686,+10:00,Pacific/Port_Moresby
ATA,ATA,PE,Huaraz German Arias Graziani,-9.3506,-77.5975,-05:00,America/Lima
ATB,ATB,SD,Atbara,17.7097,34.0572,+02:00,Africa/Khartoum
ATC,ATC,BS,Arthur's Town,24.6294,-75.6739,-05:00,America/Nassau
ATD,ATD,SB,Atoifi,-8.8733,161.0114,+11:00,Pacific/Guadalcanal
ATE,ATE,US,Antlers Municipal,34.2333,-95.6167,-06:00,America/Chicago
ATF,ATF,EC,Ambato Chachoan,-1.2,-78.5667,-05:00,America/Guayaquil
ATG,ATG,PK,Attock,33.9,72.25,+05:00,Asia/Karachi
ATH,ATH,GR,Athens,37.9364,23.9444,+02:00,Europe/Athens
ATI,ATI,UY,Artigas,-30.4167,-56.5167,-03:00,America/Montevideo
ATJ,ATJ,MG,Antsirabe,-19.8378,47.0653,+03:00,Indian/Antananarivo
ATK,ATK,US,Atqasuk E. Burnell Sr Memorial,70.4672,-157.4358,-09:00,America/Anchorage
ATL,ATL,US,Atlanta,33.6367,-84.4281,-05:00,America/New_York
ATM,ATM,BR,Altamira,-3.2539,-52.2539,-03:00,America/Araguaina
ATN,ATN,PG,Namatanai,-3.6667,152.45,+10:00,Pacific/Port_Moresby
ATO,ATO,US,Athens Ohio University,39.3333,-82.1,-05:00,America/New_York
ATP,ATP,PG,Aitape Airstrip,-3.1333,142.35,+10:00,Pacific/Port_Moresby
ATQ,ATQ,IN,Amritsar,31.7097,74.7972,+05:30,Asia/Kolkata
ATR,ATR,MR,Atar International,20.5,-13.05,+00:00,Africa/Nouakchott
ATS,ATS,US,Artesia Municipal,32.85,-104.4667,-07:00,America/Denver
ATT,ATT,US,Atmautluak,60.8669,-162.2739,-09:00,America/Anchorage
ATU,ATU,US,Attu Island Casco Cove Cgs,52.8333,173.1833,-10:00,America/Adak
ATV,ATV,TD,Ati,13.2333,18.3167,+01:00,Africa/Ndjamena
ATW,ATW,US,Appleton,44.2667,-88.5167,-06:00,America/Chicago
ATX,ATX,KZ,Atbasar,51.8833,68.4,+06:00,Asia/Almaty
ATY,ATY,US,Watertown Regional,44.9136,-97.1511,-06:00,America/Chicago
ATZ,ATZ,EG,Asyut,27.0464,31.0119,+02:00,Africa/Cairo
AUA,AUA,AW,Aruba,12.5014,-70.0153,-04:00,America/Aruba
AUB,MUC,DE,Augsburg Bus Terminal Bieberbachstrasse,48.4025,10.8789,+01:00,Europe/Berlin
AUC,AUC,CO,Arauca Santiago Perez Quiroz,7.0689,-70.7369,-05:00,America/Bogota
AUD,AUD,AU,Augustus Downs,-18.6667,139.9333,+10:00,Australia/Brisbane
AUE,AUE,EG,Abu Rudeis,28.9667,33.1833,+02:00,Africa/Cairo
AUF,AUF,FR,Auxerre Branches,47.8464,3.4967,+01:00,Europe/Paris
AUG,AUG,US,Augusta State,44.3181,-69.7969,-05:00,America/New_York
AUH,AUH,AE,Abu Dhabi,24.4331,54.6511,+04:00,Asia/Dubai
AUI,AUI,PG,Aua Island,-1.45,143.0667,+10:00,Pacific/Port_Moresby
AUJ,AUJ,PG,Ambunti,-4.2333,142.8333,+10:00,Pacific/Port_Moresby
AUK,AUK,US,Alakanuk Municipal,62.6789,-164.6508,-09:00,America/Anchorage
AUL,AUL,MH,Aur Island,8.3025,171.1614,+12:00,Pacific/Majuro
AUM,AUM,US,Austin Municipal,43.6667,-92.9333,-06:00,America/Chicago
AUN,AUN,US,Auburn Municipal,38.9,-121.0667,-08:00,America/Los_Angeles
AUO,AUO,US,Auburn University Regional,32.6167,-85.4333,-06:00,America/Chicago
AUP,AUP,PG,Agaun,-9.9167,149.3333,+10:00,Pacific/Port_Moresby
AUQ,AUQ,PF,Hiva Oa Atuona,-9.7689,-139.0114,-09:30,Pacific/Marquesas
AUR,AUR,FR,Aurillac Tronquires,44.8975,2.4167,+01:00,Europe/Paris
AUS,AUS,US,Austin-Bergstrom,30.1944,-97.67,-06:00,America/Chicago
AUT,AUT,TL,Atauro,-8.2667,125.6,+09:00,Asia/Dili
AUU,AUU,AU,Aurukun,-13.3539,141.7208,+10:00,Australia/Brisbane
AUV,AUV,PG,Aumo,-5.7167,148.4333,+10:00,Pacific/Port_Moresby
AUW,AUW,US,Wausau Downtown Apt,44.9283,-89.6267,-06:00,America/Chicago
AUX,AUX,BR,Araguaina Araguaini,-7.2281,-48.2403,-03:00,America/Araguaina
AUY,AUY,VU,Aneityum,-20.2494,169.7708,+11:00,Pacific/Efate
AUZ,AUZ,US,Aurora Municipal,41.7667,-88.3167,-06:00,America/Chicago
AVA,AVA,CN,Anshun Huangguoshu,26.2572,105.8728,+08:00,Asia/Shanghai
AVB,AVB,IT,Aviano Air Base,46.0319,12.5964,+01:00,Europe/Rome
AVF,AVF,FR,Avoriaz Off-Line Point,46.2,6.7667,+01:00,Europe/Paris
AVG,AVG,AU,Auvergne Station,-15.75,129.9167,+09:30,Australia/Darwin
AVI,AVI,CU,Ciego De Avila Maximo Gomez,22.0269,-78.7897,-05:00,America/Havana
AVJ,AVJ,ES,Avila Bus Station,40.6581,-4.6897,+01:00,Europe/Madrid
AVK,AVK,MN,Arvaikheer,46.2667,102.7833,+08:00,Asia/Ulaanbaatar
AVL,AVL,US,Asheville,35.4361,-82.5419,-05:00,America/New_York
AVN,AVN,FR,Avignon Caumont,43.9067,4.9019,+01:00,Europe/Paris
AVO,AVO,US,Avon Park Executive,27.6,-81.5167,-05:00,America/New_York
AVP,AVP,US,Wilkes-Barre,41.3386,-75.7233,-05:00,America/New_York
AVR,AVR,PT,Alverca,38.8831,-9.03,+00:00,Europe/Lisbon
AVS,AVJ,ES,Avila Rail Station,40.6569,-4.6833,+01:00,Europe/Madrid
AVU,AVU,SB,Avu Avu,-9.8414,160.3836,+11:00,Pacific/Guadalcanal
AVV,MEL,AU,Melbourne Avalon Airport,-38.0394,144.4694,+10:00,Australia/Sydney
AVW,TUS,US,Tucson Marana Regional,32.4092,-111.2164,-07:00,America/Phoenix
AVX,AVX,US,Avalon Catalina,33.405,-118.4161,-08:00,America/Los_Angeles
AWA,AWA,ET,Awasa,7.0675,38.4906,+03:00,Africa/Addis_Ababa
AWB,AWB,PG,Awaba,-8.0144,142.7511,+10:00,Pacific/Port_Moresby
AWD,AWD,VU,Aniwa,-19.2375,169.6011,+11:00,Pacific/Efate
AWE,AWE,GA,Alowe,-0.75,9.45,+01:00,Africa/Libreville
AWH,AWH,ET,Awareh,8.2667,44.1833,+03:00,Africa/Addis_Ababa
AWK,AWK,UM,Wake Island,19.3,166.5833,+12:00,Pacific/Wake
AWM,AWM,US,West Memphis Municipal,35.1333,-90.1833,-06:00,America/Chicago
AWN,AWN,AU,Alton Downs,-26.4833,139.3167,+09:30,Australia/Adelaide
AWP,AWP,AU,Austral Downs Station,-20.3333,137.25,+09:30,Australia/Darwin
AWR,AWR,PG,Awar,-4.1167,144.85,+10:00,Pacific/Port_Moresby
AWZ,AWZ,IR,Ahwaz,31.3375,48.7603,+03:30,Asia/Tehran
AXA,AXA,AI,Anguilla Clayton J. Lloyd Intl,18.2047,-63.055,-04:00,America/Anguilla
AXB,AXB,US,Alexandria Bay Maxson Airfield,44.2525,-75.9014,-05:00,America/New_York
AXC,AXC,AU,Aramac,-23.0833,145.25,+10:00,Australia/Brisbane
AXD,AXD,GR,Alexandroupolis,40.8558,25.9564,+02:00,Europe/Athens
AXE,AXE,BR,Xanxere Joao Winckler,-26.8833,-52.3833,-03:00,America/Araguaina
AXF,AXF,CN,Alxa Left Banner,38.8239,105.6261,+08:00,Asia/Shanghai
AXG,AXG,US,Algona Municipal,43.0667,-94.2333,-06:00,America/Chicago
AXI,AEI,ES,Algeciras Bus Station,36.1264,-5.4489,+01:00,Europe/Madrid
AXJ,AXJ,JP,Amakusa,32.4822,130.1589,+09:00,Asia/Tokyo
AXK,AXK,YE,Ataq,14.5522,46.8256,+03:00,Asia/Aden
AXL,AXL,AU,Alexandria Station,-19.1167,136.7667,+09:30,Australia/Darwin
AXM,AXM,CO,Armenia,4.4528,-75.7664,-05:00,America/Bogota
AXN,AXN,US,Alexandria Chandler Field,45.7833,-95.2667,-06:00,America/Chicago
AXO,ARD,ID,Alor Pantar,-8.2458,124.2186,+08:00,Asia/Makassar
AXP,AXP,BS,Spring Point,22.4419,-73.9708,-05:00,America/Nassau
AXR,AXR,PF,Arutua,-15.2483,-146.6167,-10:00,Pacific/Tahiti
AXS,LTS,US,Altus Quartz Mountain Rgnl,34.7028,-99.3333,-06:00,America/Chicago
AXT,AXT,JP,Akita,39.6156,140.2186,+09:00,Asia/Tokyo
AXU,AXU,ET,Axum,14.1467,38.7728,+03:00,Africa/Addis_Ababa
AXV,AXV,US,Wapakoneta Neil Armstrong,40.5667,-84.1833,-05:00,America/New_York
AXX,AXX,US,Angel Fire,36.4167,-105.2833,-07:00,America/Denver
AYA,AYA,CO,Ayapel El Cebruno,8.3,-75.15,-05:00,America/Bogota
AYC,AYC,CO,Ayacucho La Gloria,8.6,-73.6167,-05:00,America/Bogota
AYD,AYD,AU,Alroy Downs,-19.3,135.95,+09:30,Australia/Darwin
AYE,AYE,US,Fort Devens Army Air Field Heliport,42.5333,-71.6167,-05:00,America/New_York
AYG,AYG,CO,Yaguara Ii,2.6667,-75.5167,-05:00,America/Bogota
AYH,AYH,GB,Alconbury,52.3667,-0.2667,+00:00,Europe/London
AYI,AYI,CO,Yari,-0.3833,-72.2667,-05:00,America/Bogota
AYK,AYK,KZ,Arkalyk,50.3167,66.9667,+06:00,Asia/Almaty
AYL,AYL,AU,Anthony Lagoon,-18.0167,135.55,+09:30,Australia/Darwin
AYM,AUH,AE,Abu Dhabi Yas Island Spb,24.4708,54.6097,+04:00,Asia/Dubai
AYN,AYN,CN,Anyang,36.1,114.35,+08:00,Asia/Shanghai
AYO,AYO,PY,Juan De Ayolas,-27.3667,-56.85,-04:00,America/Asuncion
AYP,AYP,PE,Ayacucho Alfredo M. Duarte,-13.1547,-74.2044,-05:00,America/Lima
AYQ,AYQ,AU,Ayers Rock Connellan,-25.1861,130.9756,+09:30,Australia/Darwin
AYR,AYR,AU,Ayr,-19.6667,147.3667,+10:00,Australia/Brisbane
AYS,AYS,US,Waycross Ware County,31.25,-82.4,-05:00,America/New_York
AYT,AYT,TR,Antalya,36.8986,30.8006,+03:00,Europe/Istanbul
AYU,AYU,PG,Aiyura,-6.3333,145.9,+10:00,Pacific/Port_Moresby
AYW,AYW,ID,Ayawasi,-1.2,132.5,+09:00,Asia/Jayapura
AYX,AYX,PE,Atalaya Gerardo Perez Pine,-10.7292,-73.7667,-05:00,America/Lima
AYY,AYY,LK,Pottuvil Spb Arugam Bay Spb,6.855,81.8311,+05:30,Asia/Colombo
AYZ,AYZ,US,Amityville Zahns,40.6667,-73.4167,-05:00,America/New_York
AZA,PHX,US,Phoenix Williams Gateway,33.31,-111.6569,-07:00,America/Phoenix
AZB,AZB,PG,Amazon Bay,-10.3,149.3333,+10:00,Pacific/Port_Moresby
AZD,AZD,IR,Yazd Shahid Sadooghi,31.9011,54.2819,+03:30,Asia/Tehran
AZG,AZG,MX,Apatzingan Pablo L. Sidar,19.0833,-102.3833,-06:00,America/Mexico_City
AZI,AUH,AE,Abu Dhabi Bateen Apt,24.4278,54.4592,+04:00,Asia/Dubai
AZJ,ZUJ,CN,Zhenjiang Dalu,32.2358,119.7206,+08:00,Asia/Shanghai
AZL,AZL,BR,Sapezal Fazenda Tucunare,-13.4725,-58.8508,-04:00,America/Porto_Velho
AZM,MFM,CN,Macau Cz Bus Station,22.2156,113.5489,+08:00,Asia/Shanghai
AZN,AZN,UZ,Andizhan,40.7278,72.2939,+05:00,Asia/Tashkent
AZO,AZO,US,Kalamazoo,42.235,-85.5519,-05:00,America/New_York
AZP,MEX,MX,Mexico City Atizapan-Jimenez Cantu,19.6,-99.3,-06:00,America/Mexico_City
AZQ,CHG,CN,Chaoyang (Guangdong) Railway Station,23.3817,116.4225,+08:00,Asia/Shanghai
AZR,AZR,DZ,Adrar Touat,27.8375,-0.1864,+01:00,Africa/Algiers
AZS,AZS,DO,Samana El Catey Intl,19.2672,-69.7422,-04:00,America/Santo_Domingo
AZT,AZT,CO,Zapatoca,6.8167,-73.2833,-05:00,America/Bogota
AZZ,AZZ,AO,Ambriz,-7.8833,13.15,+01:00,Africa/Luanda
BAA,BAA,PG,Bialla,-5.3306,151.0081,+10:00,Pacific/Port_Moresby
BAB,MYV,US,Marysville Beale Afb,39.1333,-121.3333,-08:00,America/Los_Angeles
BAC,BAC,CO,Barranca De Upia Guadalito,4.5833,-72.9667,-05:00,America/Bogota
BAD,SHV,US,Shreveport Barksdale Afb,32.5033,-93.6642,-06:00,America/Chicago
BAE,BAE,FR,Barcelonnette St-Pons,44.3883,6.6103,+01:00,Europe/Paris
BAF,BAF,US,Westfield Barnes Regional,42.1586,-72.7156,-05:00,America/New_York
BAG,BAG,PH,Baguio Loakan,16.375,120.6197,+08:00,Asia/Manila
BAH,BAH,BH,Bahrain,26.2708,50.6336,+03:00,Asia/Bahrain
BAI,BAI,CR,Buenos Aires,9.1667,-83.3333,-06:00,America/Costa_Rica
BAJ,BAJ,PG,Bali,-4.8833,149.1333,+10:00,Pacific/Port_Moresby
BAK,BAK,AZ,Baku,40.4833,50.0667,+04:00,Asia/Baku
